frac17	1/7
#xE04A	ungramsym - #new usage note: grammar
#xE04B	undrsym - #new usage note: derivative
#xE04C	unsynsym - #new usage note: synonym
#xE04D	unoppsym - #new usage note: opposite
#xE04E	uncompsym - #new usage note: compare  (also used for short notes)
#xE04F	uncolsym - #new usage note: collocation
#xE050	unspellsym - #new usage note: spelling
#xE051	unvocsym - #new usage note: vocab
#xE052	unorigsym - #new usage note: origin
#xE053	unstysym - #new usage note: style
#xE054	uncultsym - #new usage note: culture
#xE055	unusssym - #new usage note: USS
#xE056	untopicsym - #new usage note: topic
#xE057	uninfosym - #new usage note: info
#xE058	unnotesym - usage note: note
#xE059	unhelpsym - usage note: help
#xE05A	unmoresym - #new usage note: more
#xE05B	unmiscsym - #new usage note: misc
#xE05C	wfosym - #new usage note: Word Family opposite
#xE05D	unheadsym - #new usage note: heading symbol
#xE060	cefrsym_a1 - CEFR symbol A1
#xE061	cefrsym_a2 - CEFR symbol A2
#xE062	cefrsym_b1 - CEFR symbol B1
#xE063	cefrsym_b1_plus - CEFR symbol B2
#xE064	cefrsym_b2 - CEFR symbol B2
#xE065	cefrsym_c1 - CEFR symbol C1
#xE066	cefrsym_c2 - CEFR symbol C2
#xE08A	xrsym - xref: general
#xE08B	xrsynsym - xref: synonym
#xE08C	xroppsym - xref: opposite
#xE08D	xrmltsym - #new xref: more like this
#xE08E	xrlookatsym - #new xref: look at
#xE08F	xrnoteatsym - #new xref: note at
#xE090	xrpicatsym - #new xref: picture at
#xE091	xrpiconsym - #new xref: picture on
#xE092	xrshortforsym - #new xref: abbreviation
#xE0CA	xsep - separator: example sentence
#xE0CB	xseps - #new separator: example sentences group
#xE0CC	transsep - #new separator: translation
#xE0CD	transsym - translations group symbol
#xE0CE	idsep - #new separator: idiom
#xE0CF	idseps - #new separator: idioms group
#xE0D0	pvsep - #new separator: phrasal verb
#xE0D1	pvseps - #new separator: phrasal verbs group
#xE0D2	colsep - #new separator: collcation
#xE0D3	colseps - #new separator: collcations group
#xE0D4	lisym_bullet - separator: list item (one per line)
#xE0D5	lisep - separator: list item (inline)
#xE0D7	cfeseps - #new separator: compound or fixed expression group
#xE0D8	tceqsym - #new symbol: translation cultural equivalent
#xE041	usage note grammar symbol
#xE042	usage note help symbol
#xE043	usage note more symbol
#xE044	usage note info symbol
#xE045	usage note driv symbol
#xE046	usage note generic symbol
#1D120	Musical symbol G clef
#1D122	Musical symbol F clef
#xE040	Note symbol (see OUP symbol font)
#xE118	Cross reference arrow (see OUP symbol font)
#xE132	Speaker symbol (see OUP symbol font)
